evidence_id,datetime_utc,generation,adjustment_state,side,sweep_id,approach_direction,steering_position,turns,direction,camber_min_deg,camber_max_deg,provenance,uncertainty
E-088,2026-09-16T18:29:42Z,G5,passenger_front_returned_only_driver_rear_displaced,driver,sep16_reset,max_left_to_max_right,maximum left,1.59,left,0.25,0.25,user-dictated ordered sweep recovered from conversation history,actual road-wheel angle not measured
E-089,2026-09-16T18:29:42Z,G5,passenger_front_returned_only_driver_rear_displaced,driver,sep16_reset,max_left_to_max_right,1 turn left,1.0,left,-0.25,-0.25,user-dictated ordered sweep recovered from conversation history,actual road-wheel angle not measured
E-090,2026-09-16T18:29:42Z,G5,passenger_front_returned_only_driver_rear_displaced,driver,sep16_reset,max_left_to_max_right,0.5 turn left,0.5,left,-3.0,-3.0,user-dictated ordered sweep recovered from conversation history,actual road-wheel angle not measured
E-091,2026-09-16T18:29:42Z,G5,passenger_front_returned_only_driver_rear_displaced,driver,sep16_reset,max_left_to_max_right,straight,0.0,straight,-4.0,-3.75,user stated -4.0 with repeat about -3.75 to -4.0,repeat range is not a confidence interval
E-092,2026-09-16T18:29:42Z,G5,passenger_front_returned_only_driver_rear_displaced,driver,sep16_reset,max_left_to_max_right,0.5 turn right,0.5,right,-4.25,-4.25,user-dictated ordered sweep recovered from conversation history,actual road-wheel angle not measured
E-093,2026-09-16T18:29:42Z,G5,passenger_front_returned_only_driver_rear_displaced,driver,sep16_reset,max_left_to_max_right,1 turn right,1.0,right,-4.0,-3.75,user-dictated range -3.75 to -4.0,range is not a confidence interval
E-094,2026-09-16T18:29:42Z,G5,passenger_front_returned_only_driver_rear_displaced,driver,sep16_reset,max_left_to_max_right,maximum right,1.59,right,-3.25,-3.25,user-dictated ordered sweep recovered from conversation history,actual road-wheel angle not measured
E-095,2026-09-16T18:29:42Z,G5,passenger_front_returned_only_driver_rear_displaced,passenger,sep16_reset,max_left_to_max_right,maximum left,1.59,left,1.75,2.0,user-dictated range +1.75 to +2.0,range is not a confidence interval
E-096,2026-09-16T18:29:42Z,G5,passenger_front_returned_only_driver_rear_displaced,passenger,sep16_reset,max_left_to_max_right,1 turn left,1.0,left,2.0,2.0,user-dictated ordered sweep recovered from conversation history,actual road-wheel angle not measured
E-097,2026-09-16T18:29:42Z,G5,passenger_front_returned_only_driver_rear_displaced,passenger,sep16_reset,max_left_to_max_right,0.5 turn left,0.5,left,2.5,2.5,user-dictated ordered sweep recovered from conversation history,actual road-wheel angle not measured
E-098,2026-09-16T18:29:42Z,G5,passenger_front_returned_only_driver_rear_displaced,passenger,sep16_reset,max_left_to_max_right,straight,0.0,straight,2.5,2.75,user stated +2.5 with repeat +2.75,repeat range is not a confidence interval
E-099,2026-09-16T18:29:42Z,G5,passenger_front_returned_only_driver_rear_displaced,passenger,sep16_reset,max_left_to_max_right,0.5 turn right,0.5,right,3.0,3.0,user-dictated ordered sweep recovered from conversation history,actual road-wheel angle not measured
E-100,2026-09-16T18:29:42Z,G5,passenger_front_returned_only_driver_rear_displaced,passenger,sep16_reset,max_left_to_max_right,1 turn right,1.0,right,3.5,3.5,user-dictated ordered sweep recovered from conversation history,actual road-wheel angle not measured
E-101,2026-09-16T18:29:42Z,G5,passenger_front_returned_only_driver_rear_displaced,passenger,sep16_reset,max_left_to_max_right,maximum right,1.59,right,4.25,4.25,user-dictated ordered sweep recovered from conversation history,actual road-wheel angle not measured
